"","address","price","area","floor","allfloor","livingroom","bathroom","bedroom"
"1","新生南路二段正面大安森林..",200000,151,2,15,2,4,4
"2","復興南路一段219巷忠孝復..",48000,36,2,7,2,1,3
"3","和平東路二段兩房一..",25009,25,2,4,1,1,2
"4","光復南路光復南路仁..",22914,20,7,12,1,1,2
"5","樂業街2房1廳基隆..",19906,20,2,4,1,1,2
"7","信義路三段台北大安..",36000,14,12,14,2,1,1
"8","信義路四段大安站（..",11500,12,5,6,1,1,2
"9","光復南路*翠亨雅舍12樓近..",22720,13,12,12,0,1,1
"10","建國南路二段151巷大安森..",50000,45,2,7,2,2,4
"12","信義路四段新裝潢近捷運採..",19000,22,5,6,1,1,2
"13","安和路一段近敦南誠品、忠..",55000,56,3,12,2,2,3
"14","忠孝東路四段77巷【忠孝復..",54000,24,4,10,1,1,2
"15","忠孝東路三段217巷SOGO21..",75000,45.6,1,6,2,1,3
"16","安和路二段和平東路三段口..",48000,43,5,14,2,2,3
"17","安和路二段敦化遠企商圈捷..",72000,46,16,17,2,2,4
"18","和平東路三段麟光捷運站三..",22000,12,3,4,1,1,2
"19","瑞安街208巷快<U+2764>附車位<U+2764>..",34000,36,4,7,2,2,2
"20","大安路二段大安捷運、飯店..",26500,13,5,12,1,1,2
"21","瑞安街208巷近科技大樓捷..",31000,29.6,4,7,2,2,2
"22","和平東路三段遠企商圈大客..",51000,53,6,14,2,2,3
"23","忠孝東路四段東區忠孝敦化..",37000,18.3,7,14,1,1,1
"24","忠孝東路三段248巷..",40000,43,11,12,2,2,3
"25","光復南路昇陽Grand..",90000,60,17,19,2,2,3
"26","和平東路二段捷運科技大樓..",28500,33,3,9,2,1,2
"27","敦化南路二段正敦化南路無..",128000,60,6,18,2,2,3
"28","瑞安街208巷-近大安捷運..",31000,29.6,4,7,2,2,2
"29","金山南路二段短租另議。三..",32500,26,2,4,2,1,2
"30","敦化南路一段捷運出口,歐式裝潢高級毫..",120000,62.4,10,12,2,2,3
"31","通安街捷運信義安和站，全..",55000,25,6,9,1,1,2
"32","光復南路260巷東區..",48000,42,4,7,2,2,4
"33","忠孝東路四段205巷ZARA絕..",25000,12,2,9,1,1,1
"34","光復南路近捷運裝潢明亮美..",25700,16,4,13,1,1,1
"35","瑞安街208巷捷運大..",31000,29.6,4,7,2,2,2
"36","永康街2+1房、生活機能便..",45000,27,3,7,2,2,3
"37","泰順街44巷師大捷運時尚廚..",30000,26,3,5,1,1,2
"38","信義路四段大安捷運站正對..",25000,20,10,12,1,1,1
"39","建國南路一段大安森林公園..",34000,18.5,6,12,1,1,2
"40","龍泉街WELIVE時尚捷..",22800,24,4,5,1,1,2
"41","敦化南路二段敦南鑽石4+1..",85000,61.3,7,21,2,3,5
"42","臥龍街131巷六張犁捷運站..",20000,22,1,2,1,1,2
"43","延吉街131巷捷運國父紀念..",37800,18,3,7,1,1,2
"44","忠孝東路四段216巷近仁愛路學校..",50000,45,6,7,2,2,4
"45","延吉街1房1廳,,全..",25500,18,7,8,1,1,1
"46","忠孝東路四段忠孝sogo住商..",26000,11,12,12,1,1,1
"47","忠孝東路四段忠孝東路捷運..",58000,38,9,12,2,2,3
"48","四維路208巷交通便利之吉..",30000,33,3,4,2,1,3
"49","安和路二段鄰近遠企..",60000,47,3,17,2,2,3
"50","新生南路一段97巷忠孝新生..",38000,40,4,4,2,1,2
"52","羅斯福路三段★雙捷..",78000,45,12,25,2,2,3
"53","四維路76巷電梯大廈三房二..",51000,58,9,14,2,2,3
"55","信義路三段大安MRT!復興南..",38600,23.6,14,14,2,1,1
"56","安和路一段東區仁愛..",80000,45.1,11,12,2,2,4
"57","信義路二段室內美裝潢、生..",38000,18.1,8,13,1,1,2
"58","和平東路三段228巷兩房一廳一廚..",15000,17,2,4,1,1,2
"59","四維路52巷正面公園..",68000,47,2,4,2,2,4
"60","建國南路一段大安森林旁全..",33000,26.1,10,14,2,1,3
"61","安和路一段仁愛信義安和敦..",38000,32,5,5,2,2,3
"62","基隆路二段捷運六張犁站/..",95000,57,11,13,2,2,3
"63","瑞安街208巷近雙捷..",34000,36,4,7,2,2,2
"64","仁愛路四段300巷國..",45000,41.8,6,7,2,2,3
"65","瑞安街208巷【MRT大安】..",43000,19.6,7,7,1,1,2
"66","復興南路適合個人工作室",25000,17,10,12,1,1,1
"67","師大路105巷精緻房..",30000,19.5,6,9,1,1,2
"68","新生南路一段165巷大安森..",38000,25,1,4,2,1,2
"69","大安路二段27巷大安站美妝豪邸",178000,70.2,4,7,2,2,3
"70","仁愛路四段鉑斯精選<f0><U+009F><U+008C><U+009F>歡迎企業..",110000,65.3,3,14,2,2,3
