"","address","price","area"
"1","建國南路二段151巷大安森..",50000,45
"2","大安路一段‧正兩房‧電梯..",25000,18
"3","新生南路二段正面大安森林..",200000,151
"4","復興南路一段219巷忠孝復..",48000,36
"5","和平東路二段兩房一..",25009,25
"6","光復南路光復南路仁..",22914,20
"7","樂業街2房1廳基隆..",21006,20
"8","信義路三段台北大安..",36000,14
"9","信義路四段大安站（..",11500,12
"10","光復南路*翠亨雅舍12樓近..",22720,13
"11","和平東路三段228巷兩房一廳一廚..",15000,17
"12","忠孝東路三段248巷..",40000,43
"13","建國南路一段大安森林公園..",34000,18.5
"14","光復南路昇陽Grand雅靜高..",90000,60
"15","瑞安街208巷-近大安捷運..",31000,29.6
"16","金山南路二段三面採光，古..",32500,26
"17","光復南路260巷東區..",48000,42
"18","四維路52巷正面公園鄰敦化..",68000,47
"19","永康街2+1房、生活機能便..",45000,27
"20","建國南路一段大安森林旁全..",33000,26.1
"21","安和路一段仁愛信義安和敦..",38000,32
"22","信義路四段大安捷運站正對..",25000,20
"23","基隆路二段捷運六張犁站/..",95000,57
"24","敦化南路二段敦南鑽石4+1..",85000,61.3
"25","臥龍街131巷六張犁捷運站..",20000,22
"26","延吉街131巷捷運國父紀念..",37800,18
"27","延吉街1房1廳,,全..",25500,18
"28","羅斯福路三段★雙捷運★每..",78000,45
"29","瑞安街208巷近雙捷..",34000,36
"30","仁愛路四段300巷國..",45000,41.8
"31","和平東路三段麟光捷運站三..",22000,12
"32","忠孝東路三段217巷SOGO21..",75000,45.6
"33","瑞安街208巷快<U+2764>附車位<U+2764>..",34000,36
"34","大安路二段大安捷運、飯店..",26500,13
"35","信義路二段室內美裝潢、生..",38000,18.1
"36","瑞安街208巷【MRT大安】..",43000,19.6
"37","忠孝東路四段205巷ZARA絕..",25000,12
"38","復興南路適合個人工作室",25000,17
"39","師大路105巷精緻房..",30000,19.5
"40","和平東路三段遠企商圈大客..",51000,53
"41","忠孝東路四段216巷近仁愛路學校..",50000,45
"42","新生南路一段165巷大安森..",38000,25
"43","信義路三段大安MRT!復興南..",38600,23.6
"44","安和路一段東區仁愛安和大..",80000,45.1
"45","安和路一段近敦南誠品、忠..",55000,56
"46","忠孝東路四段東區忠孝敦化..",37000,18.3
"47","敦化南路二段正敦化南路無..",128000,60
"48","敦化南路一段捷運出口,歐式裝潢高級毫..",120000,62.4
"49","瑞安街208巷捷運大..",31000,29.6
"50","泰順街44巷師大捷運時尚廚..",30000,26
"51","龍泉街WELIVE時尚捷..",22800,24
"52","忠孝東路四段忠孝sogo住商..",26000,11
"53","安和路二段東帝士@安和路..",90000,68
"54","忠孝東路四段忠孝東路捷運..",58000,38
"55","四維路208巷交通便利之吉..",30000,33
"56","安和路二段鄰近遠企購物中..",60000,47
"57","新生南路一段97巷忠孝新生..",38000,40
"58","仁愛路四段仁愛路圓..",21000,16
"59","四維路76巷電梯大廈三房二..",51000,58
"60","仁愛路四段71巷頂好商圈國..",55000,42.5
"61","復興南路二段鄰雙捷運，公..",40000,29.9
"62","忠孝東路四段77巷【忠孝復..",54000,24
"63","安和路二段和平東路三段口..",48000,43
"64","安和路二段敦化遠企商圈捷..",72000,46
"65","光復南路近捷運裝潢明亮美..",25700,16
"66","和平東路二段捷運科技大樓..",28500,33
"67","瑞安街208巷近科技大樓捷..",31000,29.6
"68","建國南路一段近大安森林公園#..",34000,18.8
"69","安和路二段高樓層≠名邸豪宅≠..",160000,117.9
"70","安和路一段仁愛圓環/3+1房大坪..",80000,45.1
"71","大安路一段19巷近忠孝復興站電..",25000,18
"72","大安路一段141巷近信義安和站..",42000,38
"73","和平東路二段118巷近台大後門..",36000,47
"74","延吉街近國父紀念館站～優質電..",25000,25
"75","敦化南路二段63巷安和路口<U+261B>一..",90000,60.8
"76","敦化南路一段177巷beautifulA..",120000,60.6
"77","光復南路MRT信義安和.全新落..",35000,22.6
"78","光復南路近信義計畫區.全新落..",88000,58.9
"79","光復南路MRT信義安和.全新落..",88000,68.3
"80","光復南路240巷MRT國父紀念館..",30000,15.2
"81","大安路二段雅寓三樓.方正採光..",35000,32.9
"82","忠孝東路三段248巷(捷運忠孝..",47800,48.8
"83","信義路四段MRT大安.精華地段..",78000,60.6
"84","仁愛路四段N1587仁愛圓環景觀..",24000,12.6
"85","辛亥路二段面台大-近新生南路..",42000,43.5
"86","復興南路二段78巷大安捷運站大..",48000,50
"87","師大路105巷師大靜巷新電梯兩..",34000,19.5
"88","臥龍街43巷敦南遠企商圈高樓層..",52000,39
"89","忠孝東路三段248巷正義國宅高..",40000,43
"90","瑞安街208巷大安捷運站電梯2..",31000,29.6
"91","忠孝東路四段170巷敦南誠品靜..",107000,50
"92","復興南路一段近SOGO<U+263C>全新裝潢..",60000,42.9
"93","瑞安街208巷瑞安街華廈二房屋..",34000,29.6
"94","復興南路一段大安站美侖飯店客..",118000,56
"95","新生南路一段仁愛帝寶後方靜巷..",52000,43.1
"96","師大路熱鬧繁榮◆鬧中取靜◆管..",34000,44.4
"97","復興南路二段一卡公事包即可入..",20000,10.5
"98","仁愛路四段大安名人巷搶手地段..",60000,45.2
